,value_M
0,-0.47680811823172703
1,-0.5188701567500943
2,0.09503356938230334
3,0.941789235177173
4,1.6190791886133866
5,-0.32475950800271575
6,0.9979429002108829
7,-8.591615833582285
8,0.941789235177173
9,-0.9423900854955806
10,-2.263529561697161
11,0.941789235177173
12,1.6190791886133866
13,0.941789235177173
14,0.941789235177173
15,0.941789235177173
16,0.941789235177173
17,0.941789235177173
18,-0.7080142990029366
19,0.941789235177173
20,0.941789235177173
21,0.941789235177173
22,-8.591615833582285
23,-1.7477923522812444
24,0.941789235177173
25,0.941789235177173
26,0.7697913698163996
27,0.941789235177173
28,0.941789235177173
29,-1.084176809635731
30,0.26027532256382296
31,0.941789235177173
32,0.4004904389470194
33,0.7697913698163996
34,0.941789235177173
35,0.941789235177173
36,0.941789235177173
37,0.941789235177173
38,0.941789235177173
39,0.941789235177173
40,-1.3431939913028152
41,-1.1633662929807496
42,0.941789235177173
43,-0.10569992080020062
44,-2.730752272741645
45,1.0625984007532543
46,-0.7080142990029366
47,0.941789235177173
48,-3.7199155956968935
49,0.7697913698163996
50,-0.025337374222335802
51,-0.8783977865783749
52,-0.1633274222600536
53,-3.413909179937309
54,0.941789235177173
55,1.1228336811775832
56,0.941789235177173
57,0.941789235177173
58,0.18131114481424063
59,-3.287009201705977
60,-0.19350537729798564
61,0.941789235177173
62,0.941789235177173
63,-2.1726536863035086
64,-2.263529561697161
65,0.5773708249660291
66,-0.1633274222600536
67,-0.19350537729798564
68,-0.5628342982688278
69,0.26027532256382296
70,0.941789235177173
71,-8.591615833582285
72,0.941789235177173
73,0.941789235177173
74,0.941789235177173
75,-1.7477923522812444
76,0.7253934857334133
77,0.46332800175040784
78,0.09503356938230334
79,0.941789235177173
80,0.941789235177173
81,-1.0107743411061376
82,0.9637518672543439
83,0.941789235177173
84,0.18131114481424063
85,-0.608875092836334
86,0.5221298424115547
87,1.1792003702035916
88,0.5773708249660291
89,0.7697913698163996
90,1.6190791886133866
91,-2.011287205857718
92,-1.2493006652637832
93,1.374046287348276
94,-1.084176809635731
95,-3.413909179937309
96,0.941789235177173
97,0.941789235177173
98,0.941789235177173
99,1.5329348091091326
100,0.6294472920588415
101,1.7688646632466032
102,-0.1340768722641932
103,0.7253934857334133
104,2.5239083461397214
105,0.941789235177173
106,-2.1726536863035086
107,-1.6373727343056521
108,-1.1633662929807496
109,0.26027532256382296
110,-3.413909179937309
111,0.941789235177173
112,-0.8182806639107879
113,-0.10569992080020062
114,1.0625984007532543
115,0.0
116,-0.25688475356734697
117,0.26027532256382296
118,0.941789235177173
119,0.941789235177173
120,0.0
121,-2.730752272741645
122,0.3330416938379186
123,0.941789235177173
124,-0.8182806639107879
125,0.941789235177173
126,-2.4721913811853855
127,0.4004904389470194
128,-1.4910969469945392
129,-0.43649457148506393
130,0.941789235177173
131,-0.9423900854955806
132,-0.051373648083098564
133,-3.413909179937309
134,0.941789235177173
135,-1.0107743411061376
136,0.9637518672543439
137,-0.608875092836334
138,1.6972865867888325
139,-1.3431939913028152
140,1.374046287348276
141,1.3059979529570414
142,3.414305406014073
143,0.9979429002108829
